,date,user,conversation,replies number,likes number,rewteets number,cleaned_data,token_data,polarity,bert_sentiment,vader_sentiment
0,2023-03-09 22:01:55+00:00,xXLAZYDASHXx,@TaylorLorenz @DEC0L0NIZE Maybe because the mask donesn't do shit if your not sick. If you're sick stay home. Why is this so fucking hard for you to wrap your head around,1,0,0,taylorlorenz declnize maybe mask donesnt shit not sick if youre sick stay home why fucking hard wrap head around,taylorlorenz declnize maybe mask donesnt shit not sick if youre sick stay home why fucking hard wrap head around,"('Negative', -0.21220238095238098)","{'Negative': 0.9405972, 'Neutral': 0.053759094, 'Positive': 0.005643747}","{'neg': 0.206, 'neu': 0.584, 'pos': 0.21, 'compound': 0.0286}"
0,2023-03-09 21:30:23+00:00,randomjeweler,@TaylorLorenz @broderick They probably care but also are discouraged from being a downer,0,0,0,taylorlorenz broderick they probably care but also discouraged downer,taylorlorenz broderick they probably care but also discouraged downer,"('Neutral', 0.0)","{'Negative': 0.44301245, 'Neutral': 0.50447834, 'Positive': 0.052509163}","{'neg': 0.281, 'neu': 0.553, 'pos': 0.166, 'compound': -0.3506}"
0,2023-03-09 21:11:47+00:00,StephTaitWrites,"@TaylorLorenz @rex_woodbury @jean_twenge Just going to throw this out there, since it connects to this conversation.",0,3,0,taylorlorenz rexwoodbury jeantwenge just going throw there since connects conversation,taylorlorenz rexwoodbury jeantwenge just going throw there since connects conversation,"('Neutral', 0.0)","{'Negative': 0.012808902, 'Neutral': 0.83062226, 'Positive': 0.15656888}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 20:42:03+00:00,runasand,@TaylorLorenz @rex_woodbury @jean_twenge Can we also talk about how the spaces where kids used to hang out have changed over the years? What was fun and cool and safe back then may be less so today.,2,175,0,taylorlorenz rexwoodbury jeantwenge can also talk spaces kids used hang changed over years what fun cool safe back may less today,taylorlorenz rexwoodbury jeantwenge can also talk spaces kids used hang changed over years what fun cool safe back may less today,"('Positive', 0.19666666666666666)","{'Negative': 0.3682629, 'Neutral': 0.5117908, 'Positive': 0.11994625}","{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.8176}"
0,2023-03-09 20:40:30+00:00,monaco_rachael,@TaylorLorenz @DEC0L0NIZE Eat at home. Problem solved,0,0,0,taylorlorenz declnize eat home problem solved,taylorlorenz declnize eat home problem solved,"('Neutral', 0.0)","{'Negative': 0.019272935, 'Neutral': 0.41000906, 'Positive': 0.57071805}","{'neg': 0.307, 'neu': 0.455, 'pos': 0.239, 'compound': -0.1531}"
0,2023-03-09 20:36:09+00:00,realJinxd,"@TaylorLorenz @broderick At 85-yr old Mom's DOCTOR appt the Nurse said ""Isn't it great you don't have to wear a mask"" (they hadn't ever enforced the mask req previously)

Appt is due to stroke, organ infections, asthma, ..., ...

The Doctor is of equal age

I was appalled",0,2,0,taylorlorenz broderick at yr old moms doctor appt nurse said isnt great dont wear mask they hadnt ever enforced mask req previously appt due stroke organ infections asthma   the doctor equal age i appalled,taylorlorenz broderick at yr old moms doctor appt nurse said isnt great dont wear mask they hadnt ever enforced mask req previously appt due stroke organ infections asthma   the doctor equal age i appalled,"('Negative', -0.03194444444444444)","{'Negative': 0.740103, 'Neutral': 0.22601554, 'Positive': 0.033881407}","{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.7426}"
0,2023-03-09 20:30:27+00:00,KyndhSouhl,@TaylorLorenz @DEC0L0NIZE President Biden says that the pandemic is over.,0,0,0,taylorlorenz declnize president biden says pandemic over,taylorlorenz declnize president biden says pandemic over,"('Neutral', 0.0)","{'Negative': 0.10549865, 'Neutral': 0.65790516, 'Positive': 0.23659617}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 20:06:11+00:00,thedirte,@TaylorLorenz @rex_woodbury @jean_twenge @DKThomp We've also built an environment that makes casually meeting friends without involving a car very difficult for a large swath of the population,1,10,0,taylorlorenz rexwoodbury jeantwenge dkthomp weve also built environment makes casually meeting friends without involving car difficult large swath population,taylorlorenz rexwoodbury jeantwenge dkthomp weve also built environment makes casually meeting friends without involving car difficult large swath population,"('Negative', -0.2619047619047619)","{'Negative': 0.090379484, 'Neutral': 0.46367112, 'Positive': 0.44594938}","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.7105}"
0,2023-03-09 19:57:59+00:00,JonathanMLynn1,"@TaylorLorenz @broderick What’s the alternative?  Indefinite Covid restrictions?  

If there isn’t a return to some kind of normal life now, when does it happen?",2,4,0,taylorlorenz broderick what’s alternative indefinite covid restrictions if isn’t return kind normal life now happen,taylorlorenz broderick what’s alternative indefinite covid restrictions if isn’t return kind normal life now happen,"('Positive', 0.375)","{'Negative': 0.39814043, 'Neutral': 0.5675686, 'Positive': 0.034291007}","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}"
0,2023-03-09 19:55:31+00:00,erinbiba,@TaylorLorenz 🫠,0,1,0,taylorlorenz 🫠,taylorlorenz 🫠,"('Neutral', 0.0)","{'Negative': 0.050425377, 'Neutral': 0.83382267, 'Positive': 0.11575187}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 19:54:18+00:00,alexpmil,"@TaylorLorenz @broderick Many people do see what's happening and they also see what measures you are asking them to implement. Most people agree that COVID sucks, but the vast majority of people have decided for themselves that the countermeasures suck worse.",1,2,0,taylorlorenz broderick many people see whats happening also see measures asking implement most people agree covid sucks but vast majority people decided countermeasures suck worse,taylorlorenz broderick many people see whats happening also see measures asking implement most people agree covid sucks but vast majority people decided countermeasures suck worse,"('Positive', 0.059999999999999984)","{'Negative': 0.9059326, 'Neutral': 0.08576774, 'Positive': 0.008299624}","{'neg': 0.299, 'neu': 0.643, 'pos': 0.058, 'compound': -0.8343}"
0,2023-03-09 19:47:29+00:00,lilscse,"@TaylorLorenz @CounsellingSam @broderick Its stiil around, myself and my wife wet to a heavily attended funeral and ""afterwards"" last thursday, positive test Sunday isolated ourselves due to Mum in care home. Negative test today can visit care home on Saturday only after another negative. Be careful people 🤔",1,2,0,taylorlorenz counsellingsam broderick its stiil around wife wet heavily attended funeral afterwards last thursday positive test sunday isolated due mum care home negative test today visit care home saturday another negative be careful people 🤔,taylorlorenz counsellingsam broderick its stiil around wife wet heavily attended funeral afterwards last thursday positive test sunday isolated due mum care home negative test today visit care home saturday another negative be careful people 🤔,"('Negative', -0.1122159090909091)","{'Negative': 0.52238953, 'Neutral': 0.4162793, 'Positive': 0.061331168}","{'neg': 0.245, 'neu': 0.522, 'pos': 0.233, 'compound': -0.1531}"
0,2023-03-09 19:45:53+00:00,DEC0L0NIZE,@TaylorLorenz that’s what the hell i’m screaming through my mask!  i can’t keep supporting these restaurants that give zero fucks about us!!,1,32,0,taylorlorenz that’s hell i’m screaming mask can’t keep supporting restaurants give zero fucks us,taylorlorenz that’s hell i’m screaming mask can’t keep supporting restaurants give zero fucks us,"('Positive', 0.25)","{'Negative': 0.9653149, 'Neutral': 0.02997464, 'Positive': 0.0047104503}","{'neg': 0.444, 'neu': 0.431, 'pos': 0.125, 'compound': -0.8126}"
0,2023-03-09 19:45:17+00:00,KatyKelleher,@TaylorLorenz @broderick Sometimes I can’t face how the pandemic has changed me &amp; my life &amp; my kid &amp; my career &amp; my finances &amp; my dreams &amp; my family &amp; my body….. it’s hard to look at it. It’s a big black sun,0,3,1,taylorlorenz broderick sometimes i can’t face pandemic changed amp life amp kid amp career amp finances amp dreams amp family amp body… it’s hard look it it’s big black sun,taylorlorenz broderick sometimes i can’t face pandemic changed amp life amp kid amp career amp finances amp dreams amp family amp body… it’s hard look it it’s big black sun,"('Negative', -0.1527777777777778)","{'Negative': 0.38806534, 'Neutral': 0.464345, 'Positive': 0.14758967}","{'neg': 0.045, 'neu': 0.868, 'pos': 0.087, 'compound': 0.3182}"
0,2023-03-09 19:43:01+00:00,DEC0L0NIZE,@TaylorLorenz that exactly!  and i will forever loathe east bay bakery monopolies like timeless for how long it took for them and their pseudo punk white establishment to finally put up a blm poster after being asked to step up ages ago and they have almost proudly &amp; uniformly been anti-mask.,0,4,0,taylorlorenz exactly forever loathe east bay bakery monopolies like timeless long took pseudo punk white establishment finally put blm poster asked step ages ago almost proudly amp uniformly antimask,taylorlorenz exactly forever loathe east bay bakery monopolies like timeless long took pseudo punk white establishment finally put blm poster asked step ages ago almost proudly amp uniformly antimask,"('Positive', 0.2)","{'Negative': 0.92482543, 'Neutral': 0.06956276, 'Positive': 0.0056118616}","{'neg': 0.091, 'neu': 0.743, 'pos': 0.166, 'compound': 0.3832}"
0,2023-03-09 19:41:39+00:00,Mifield,@TaylorLorenz there are vegans who straight up think like this! i don’t think there’s even a point in asking someone like this to take covid mitigation measures https://t.co/OtRbvC7GBx,1,4,0,taylorlorenz vegans straight think like this don’t think there’s even point asking someone like take covid mitigation measures httpstcootrbvcgbx,taylorlorenz vegans straight think like this don’t think there’s even point asking someone like take covid mitigation measures httpstcootrbvcgbx,"('Positive', 0.2)","{'Negative': 0.83563167, 'Neutral': 0.14960179, 'Positive': 0.014766572}","{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.7096}"
0,2023-03-09 19:41:02+00:00,BiClownery,"@TaylorLorenz @laufer_dan Everyone in these replies making fun of you is literally proving they are incapable of just seeing past the surface “but he gave them things, that’s nice”",0,0,0,taylorlorenz lauferdan everyone replies making fun literally proving incapable seeing past surface “but gave things that’s nice”,taylorlorenz lauferdan everyone replies making fun literally proving incapable seeing past surface “but gave things that’s nice”,"('Positive', 0.21666666666666665)","{'Negative': 0.62005866, 'Neutral': 0.293091, 'Positive': 0.08685035}","{'neg': 0.124, 'neu': 0.718, 'pos': 0.158, 'compound': 0.1779}"
0,2023-03-09 19:39:27+00:00,threeafterthree,@TaylorLorenz @broderick Really? That's what you talk about all the time? That's sad.,0,1,0,taylorlorenz broderick really thats talk time thats sad,taylorlorenz broderick really thats talk time thats sad,"('Negative', -0.15)","{'Negative': 0.9547804, 'Neutral': 0.042047925, 'Positive': 0.0031716495}","{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}"
0,2023-03-09 19:38:50+00:00,EclecticRadical,@TaylorLorenz This is because white veganism is a product of the intellectual engagement between European Aryan chauvinists and upper-caste Hindu philosophy from India. Schopenhauer and other early Aryanists were obsessed with Brahmin literature and mythology.,0,6,0,taylorlorenz this white veganism product intellectual engagement european aryan chauvinists uppercaste hindu philosophy india schopenhauer early aryanists obsessed brahmin literature mythology,taylorlorenz this white veganism product intellectual engagement european aryan chauvinists uppercaste hindu philosophy india schopenhauer early aryanists obsessed brahmin literature mythology,"('Negative', -0.019999999999999997)","{'Negative': 0.41111556, 'Neutral': 0.55165094, 'Positive': 0.037233457}","{'neg': 0.065, 'neu': 0.692, 'pos': 0.242, 'compound': 0.6808}"
0,2023-03-09 19:37:50+00:00,oreos2002,@TaylorLorenz @rex_woodbury @jean_twenge when was the last time you spent &gt;1 week off social media entirely?,0,0,0,taylorlorenz rexwoodbury jeantwenge last time spent g week off social media entirely,taylorlorenz rexwoodbury jeantwenge last time spent g week off social media entirely,"('Negative', -0.01666666666666667)","{'Negative': 0.147114, 'Neutral': 0.8125984, 'Positive': 0.040287502}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 19:36:28+00:00,LoveBugDuh,"@TaylorLorenz @broderick My grandmother died of covid in Dec 2022. When I tell people that they say “Was she immune compromised (no), was she unvaccinated (no). Then how did she die of covid?” Literally they don’t get it.",0,15,2,taylorlorenz broderick my grandmother died covid dec  when i tell people say “was immune compromised no unvaccinated no then die covid” literally don’t get it,taylorlorenz broderick my grandmother died covid dec  when i tell people say “was immune compromised no unvaccinated no then die covid” literally don’t get it,"('Neutral', 0.0)","{'Negative': 0.75525606, 'Neutral': 0.23070565, 'Positive': 0.014038279}","{'neg': 0.36, 'neu': 0.574, 'pos': 0.066, 'compound': -0.8658}"
0,2023-03-09 19:36:24+00:00,erinbiba,@TaylorLorenz I guess that’s what should be expected from folks that regularly compare meat eating to the Holocaust.,2,8,0,taylorlorenz i guess that’s expected folks regularly compare meat eating holocaust,taylorlorenz i guess that’s expected folks regularly compare meat eating holocaust,"('Negative', -0.05)","{'Negative': 0.74429154, 'Neutral': 0.2433447, 'Positive': 0.012363776}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 19:32:53+00:00,matrixman124,"@TaylorLorenz @broderick Reminder that a president ran on a platform of ""Return to normalcy"" and people ate that shit up and elected him.",0,8,1,taylorlorenz broderick reminder president ran platform return normalcy people ate shit elected him,taylorlorenz broderick reminder president ran platform return normalcy people ate shit elected him,"('Negative', -0.2)","{'Negative': 0.8386099, 'Neutral': 0.14327988, 'Positive': 0.018110147}","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5574}"
0,2023-03-09 19:28:39+00:00,adamgreeney,"@TaylorLorenz @kim_crawley @broderick Generational PTSD is a thing, I swear, and COVID is far bigger than the financial crisis or 9/11. We have to admit it and try to deal with it, or else it will keep rippling through culture for years and years.",0,15,1,taylorlorenz kimcrawley broderick generational ptsd thing i swear covid far bigger financial crisis  we admit try deal it else keep rippling culture years years,taylorlorenz kimcrawley broderick generational ptsd thing i swear covid far bigger financial crisis  we admit try deal it else keep rippling culture years years,"('Positive', 0.03333333333333333)","{'Negative': 0.66682684, 'Neutral': 0.29698843, 'Positive': 0.036184747}","{'neg': 0.196, 'neu': 0.738, 'pos': 0.066, 'compound': -0.5423}"
0,2023-03-09 19:27:40+00:00,TaylorLorenz,"@broderick it continues to be the single biggest driver of radicalization, but even many big ""disinfo"" reporters want to act like it's not happening?? Meanwhile we have to watch our loved ones die and become disabled from it. I don't understand how ppl don't care, it's still shocking to me",5,66,6,broderick continues single biggest driver radicalization but even many big disinfo reporters want act like its not happening meanwhile watch loved ones die become disabled it i dont understand ppl dont care its still shocking,broderick continues single biggest driver radicalization but even many big disinfo reporters want act like its not happening meanwhile watch loved ones die become disabled it i dont understand ppl dont care its still shocking,"('Negative', -0.011904761904761899)","{'Negative': 0.96060216, 'Neutral': 0.036968905, 'Positive': 0.0024288981}","{'neg': 0.245, 'neu': 0.556, 'pos': 0.199, 'compound': -0.5093}"
0,2023-03-09 19:25:29+00:00,broderick,"@TaylorLorenz I say this about too many things, but it's hypernormalization. It's a large-scale effort to pretend that we returned to 2019 when we haven't. And, at its most benign, it just makes life very surreal. But at its toughest, it means we can't actually understand the world anymore.",8,1368,106,taylorlorenz i say many things but its hypernormalization its largescale effort pretend returned  havent and benign makes life surreal but toughest means cant actually understand world anymore,taylorlorenz i say many things but its hypernormalization its largescale effort pretend returned  havent and benign makes life surreal but toughest means cant actually understand world anymore,"('Positive', 0.25)","{'Negative': 0.6551631, 'Neutral': 0.28099754, 'Positive': 0.06383932}","{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.5413}"
0,2023-03-09 19:24:14+00:00,JStew2024,"@TaylorLorenz @rex_woodbury @jean_twenge I don't think kids have more homework than ever - at least not recently. The move now, especially post covid, is away from assignment homework. And if they have more activities to impede meetups, those are virtual/online activities (games, content creation)",0,0,0,taylorlorenz rexwoodbury jeantwenge i dont think kids homework ever  least not recently the move now especially post covid away assignment homework and activities impede meetups virtualonline activities games content creation,taylorlorenz rexwoodbury jeantwenge i dont think kids homework ever  least not recently the move now especially post covid away assignment homework and activities impede meetups virtualonline activities games content creation,"('Negative', -0.09999999999999999)","{'Negative': 0.27218187, 'Neutral': 0.5529738, 'Positive': 0.1748443}","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2732}"
0,2023-03-09 19:12:00+00:00,jordan_pesce,@TaylorLorenz @rex_woodbury @jean_twenge It just follows emerging markets and technology trends where in 2008 you would go down the road now without a second thought it’s easy to make friends within a international network of people who have different views and opinions.,0,0,0,taylorlorenz rexwoodbury jeantwenge it follows emerging markets technology trends  would go road without second thought it’s easy make friends within international network people different views opinions,taylorlorenz rexwoodbury jeantwenge it follows emerging markets technology trends  would go road without second thought it’s easy make friends within international network people different views opinions,"('Positive', 0.10833333333333334)","{'Negative': 0.015940817, 'Neutral': 0.3349892, 'Positive': 0.64907}","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.7184}"
0,2023-03-09 19:10:38+00:00,ImranKhanfromN1,@TaylorLorenz @rex_woodbury @jean_twenge Would be nice if you could back this up with more than just your “feelings” or “sense.”  And nobody serious blames technology for all our ills.,0,0,0,taylorlorenz rexwoodbury jeantwenge would nice could back “feelings” “sense” and nobody serious blames technology ills,taylorlorenz rexwoodbury jeantwenge would nice could back “feelings” “sense” and nobody serious blames technology ills,"('Positive', 0.08888888888888889)","{'Negative': 0.36184272, 'Neutral': 0.47190478, 'Positive': 0.1662525}","{'neg': 0.213, 'neu': 0.638, 'pos': 0.149, 'compound': -0.0516}"
0,2023-03-09 19:06:27+00:00,rex_woodbury,"@TaylorLorenz @jean_twenge I also liked that piece (love @DKThomp) and esp the analogy of parents with fitness bumper stickers. 

The other major factor, in my mind, is economic inequality. Young people feeling hopeless about capitalism, because it’s been broken for them. https://t.co/Ml383VM55s",6,60,8,taylorlorenz jeantwenge i also liked piece love dkthomp esp analogy parents fitness bumper stickers the major factor mind economic inequality young people feeling hopeless capitalism it’s broken them httpstcomlvms,taylorlorenz jeantwenge i also liked piece love dkthomp esp analogy parents fitness bumper stickers the major factor mind economic inequality young people feeling hopeless capitalism it’s broken them httpstcomlvms,"('Positive', 0.17708333333333334)","{'Negative': 0.15594439, 'Neutral': 0.39712983, 'Positive': 0.44692582}","{'neg': 0.158, 'neu': 0.568, 'pos': 0.274, 'compound': 0.5423}"
0,2023-03-09 19:06:04+00:00,jonfriedman,@TaylorLorenz kids now have more homework and other activities than ever?,0,0,0,taylorlorenz kids homework activities ever,taylorlorenz kids homework activities ever,"('Neutral', 0.0)","{'Negative': 0.27379468, 'Neutral': 0.61751044, 'Positive': 0.10869491}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-03-09 19:06:02+00:00,TaylorLorenz,"@rex_woodbury @jean_twenge Maybe I'm just a contrarian here, but idk! I think this quote from Derek's piece rings true to my own reporting too: “When I talk to kids and we talk abt sources of stress, they mention school pressure more than likes on IG.” I think it is all a confluence of many factors, not 1",1,23,0,rexwoodbury jeantwenge maybe im contrarian here but idk i think quote dereks piece rings true reporting too “when i talk kids talk abt sources stress mention school pressure likes ig” i think confluence many factors not,rexwoodbury jeantwenge maybe im contrarian here but idk i think quote dereks piece rings true reporting too “when i talk kids talk abt sources stress mention school pressure likes ig” i think confluence many factors not,"('Positive', 0.425)","{'Negative': 0.350627, 'Neutral': 0.5702199, 'Positive': 0.07915304}","{'neg': 0.186, 'neu': 0.644, 'pos': 0.17, 'compound': 0.0772}"
0,2023-03-09 19:03:52+00:00,tr8ss,@TaylorLorenz @rex_woodbury @jean_twenge The ease of access of checking in with your friends via social media and smart phones only assists in fighting the larger issue of kids working more than ever. Absolutely agree with Taylor's insight here.,0,1,0,taylorlorenz rexwoodbury jeantwenge the ease access checking friends via social media smart phones assists fighting larger issue kids working ever absolutely agree taylors insight here,taylorlorenz rexwoodbury jeantwenge the ease access checking friends via social media smart phones assists fighting larger issue kids working ever absolutely agree taylors insight here,"('Positive', 0.1119047619047619)","{'Negative': 0.0059590773, 'Neutral': 0.13406755, 'Positive': 0.85997343}","{'neg': 0.074, 'neu': 0.595, 'pos': 0.33, 'compound': 0.8221}"
0,2023-03-09 19:03:33+00:00,ObiKanobi7,@TaylorLorenz @rex_woodbury @jean_twenge Everyone blames everything on social media,0,0,0,taylorlorenz rexwoodbury jeantwenge everyone blames everything social media,taylorlorenz rexwoodbury jeantwenge everyone blames everything social media,"('Positive', 0.03333333333333333)","{'Negative': 0.7001088, 'Neutral': 0.2806773, 'Positive': 0.019213855}","{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}"
0,2023-03-09 18:59:12+00:00,businessgoos3,@TaylorLorenz @rex_woodbury there's also been a HUGE decrease in places we can spend time with each other that aren't our houses (which aren't always safe/available) and that makes it really difficult to spend time with friends irl,6,42,0,taylorlorenz rexwoodbury theres also huge decrease places spend time arent houses which arent always safeavailable makes really difficult spend time friends irl,taylorlorenz rexwoodbury theres also huge decrease places spend time arent houses which arent always safeavailable makes really difficult spend time friends irl,"('Negative', -0.04999999999999996)","{'Negative': 0.83221096, 'Neutral': 0.154115, 'Positive': 0.013674047}","{'neg': 0.103, 'neu': 0.699, 'pos': 0.199, 'compound': 0.3832}"
0,2023-03-09 18:57:17+00:00,rex_woodbury,"@TaylorLorenz @jean_twenge I’m as passionate a technology optimist as there is, but it’s hard to deny the correlation between the two charts. 

There are many causal factors at play, but I do think it plays a key role (particularly constant comparison through social media) https://t.co/DYP3dSJdeg",5,25,1,taylorlorenz jeantwenge i’m passionate technology optimist is but it’s hard deny correlation two charts there many causal factors play but i think plays key role particularly constant comparison social media httpstcodypdsjdeg,taylorlorenz jeantwenge i’m passionate technology optimist is but it’s hard deny correlation two charts there many causal factors play but i think plays key role particularly constant comparison social media httpstcodypdsjdeg,"('Positive', 0.03194444444444444)","{'Negative': 0.06619909, 'Neutral': 0.583515, 'Positive': 0.3502859}","{'neg': 0.121, 'neu': 0.62, 'pos': 0.258, 'compound': 0.6486}"
0,2023-03-09 18:54:34+00:00,babs_zone,@TaylorLorenz @rex_woodbury @jean_twenge 2010 was my 10-11 grade yr—can confirm that i &amp;many peers only ever got to “meet up” at school events. wanna hang for a while? try a 3hr marching band rehearsal before going home to 4-6hrs of homework. without social media i’d prob have had even less actual enjoyable friend time.,0,5,0,taylorlorenz rexwoodbury jeantwenge  grade yr—can confirm ampmany peers ever got “meet up” school events wanna hang while try hr marching band rehearsal going home hrs homework without social media i’d prob even less actual enjoyable friend time,taylorlorenz rexwoodbury jeantwenge  grade yr—can confirm ampmany peers ever got “meet up” school events wanna hang while try hr marching band rehearsal going home hrs homework without social media i’d prob even less actual enjoyable friend time,"('Positive', 0.09166666666666667)","{'Negative': 0.61320037, 'Neutral': 0.30970088, 'Positive': 0.07709876}","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.6765}"
